NAME_CHN,adcode,citycode
文昌市,"469005","1893"
黄山市,"341000","0559"
鞍山市,"210300","0412"
柳州市,"450200","0772"
定安县,"469021","0806"
酒泉市,"620900","0937"
宿迁市,"321300","0527"
博尔塔拉蒙古自治州,"652700","0909"
宣城市,"341800","0563"
大兴安岭地区,"232700","0457"
阿克苏地区,"652900","0997"
鹰潭市,"360600","0701"
湘西土家族苗族自治州,"433100","0743"
阜阳市,"341200","1558"
西安市,"610100","029"
聊城市,"371500","0635"
资阳市,"512000","0832"
通辽市,"150500","0475"
周口市,"411600","0394"
北海市,"450500","0779"
黑河市,"231100","0456"
佳木斯市,"230800","0454"
兴安盟,"152200","0482"
图木舒克市,"659003","1998"
驻马店市,"411700","0396"
梅州市,"441400","0753"
铜陵市,"340700","0562"
中卫市,"640500","1953"
朝阳市,"211300","0421"
桂林市,"450300","0773"
九江市,"360400","0792"
贵阳市,"520100","0851"
海南藏族自治州,"632500","0974"
武汉市,"420100","027"
南昌市,"360100","0791"
银川市,"640100","0951"
德宏傣族景颇族自治州,"533100","0692"
玉树藏族自治州,"632700","0976"
随州市,"421300","0722"
滁州市,"341100","0550"
万宁市,"469006","1898"
白银市,"620400","0943"
阜新市,"210900","0418"
菏泽市,"371700","0530"
宜宾市,"511500","0831"
常州市,"320400","0519"
白山市,"220600","0439"
漯河市,"411100","0395"
黔西南布依族苗族自治州,"522300","0859"
昭通市,"530600","0870"
澄迈县,"469023","0804"
巴音郭楞蒙古自治州,"652800","0996"
鹤岗市,"230400","0468"
石嘴山市,"640200","0952"
齐齐哈尔市,"230200","0452"
玉溪市,"530400","0877"
宜春市,"360900","0795"
内江市,"511000","1832"
崇左市,"451400","1771"
盘锦市,"211100","0427"
常德市,"430700","0736"
广安市,"511600","0826"
呼伦贝尔市,"150700","0470"
渭南市,"610500","0913"
信阳市,"411500","0376"
南京市,"320100","025"
昌吉回族自治州,"652300","0994"
绍兴市,"330600","0575"
许昌市,"411000","0374"
昌都市,"540300","0895"
赤峰市,"150400","0476"
上海市,"310000","021"
六安市,"341500","0564"
莆田市,"350300","0594"
铜仁市,"520600","0856"
韶关市,"440200","0751"
商丘市,"411400","0370"
丹东市,"210600","0415"
牡丹江市,"231000","0453"
济源市,"419001","1391"
眉山市,"511400","1833"
克拉玛依市,"650200","0990"
衡水市,"131100","0318"
陵水黎族自治县,"469028","0809"
扬州市,"321000","0514"
阳江市,"441700","0662"
滨州市,"371600","0543"
伊春市,"230700","0458"
可克达拉市,"659008","1999"
文山壮族苗族自治州,"532600","0876"
宁德市,"350900","0593"
鸡西市,"230300","0467"
白城市,"220800","0436"
荆门市,"420800","0724"
济南市,"370100","0531"
三门峡市,"411200","0398"
十堰市,"420300","0719"
岳阳市,"430600","0730"
东莞市,"441900","0769"
台州市,"331000","0576"
阿坝藏族羌族自治州,"513200","0837"
平凉市,"620800","0933"
湖州市,"330500","0572"
永州市,"431100","0746"
唐山市,"130200","0315"
乌兰察布市,"150900","0474"
泰安市,"370900","0538"
贵港市,"450800","1755"
南宁市,"450100","0771"
临汾市,"141000","0357"
大连市,"210200","0411"
广州市,"440100","020"
安阳市,"410500","0372"
防城港市,"450600","0770"
郑州市,"410100","0371"
平顶山市,"410400","0375"
深圳市,"440300","0755"
东营市,"370500","0546"
四平市,"220300","0434"
合肥市,"340100","0551"
衢州市,"330800","0570"
安庆市,"340800","0556"
杭州市,"330100","0571"
淄博市,"370300","0533"
石河子市,"659001","0993"
青岛市,"370200","0532"
铁岭市,"211200","0410"
保亭黎族苗族自治县,"469029","0801"
河池市,"451200","0778"
淮南市,"340400","0554"
来宾市,"451300","1772"
蚌埠市,"340300","0552"
锡林郭勒盟,"152500","0479"
三亚市,"460200","0899"
徐州市,"320300","0516"
乌海市,"150300","0473"
昆玉市,"659009","1903"
天津市,"120000","022"
阳泉市,"140300","0353"
广元市,"510800","0839"
太原市,"140100","0351"
佛山市,"440600","0757"
重庆市,"500000","023"
楚雄彝族自治州,"532300","0878"
泉州市,"350500","0595"
红河哈尼族彝族自治州,"532500","0873"
吉安市,"360800","0796"
湘潭市,"430300","0732"
厦门市,"350200","0592"
辽阳市,"211000","0419"
南阳市,"411300","0377"
上饶市,"361100","0793"
贺州市,"451100","1774"
中山市,"442000","0760"
巴中市,"511900","0827"
六盘水市,"520200","0858"
晋中市,"140700","0354"
温州市,"330300","0577"
无锡市,"320200","0510"
长沙市,"430100","0731"
德州市,"371400","0534"
石家庄市,"130100","0311"
嘉兴市,"330400","0573"
连云港市,"320700","0518"
西双版纳傣族自治州,"532800","0691"
咸宁市,"421200","0715"
襄阳市,"420600","0710"
铁门关市,"659006","1996"
遵义市,"520300","0852"
云浮市,"445300","0766"
双鸭山市,"230500","0469"
咸阳市,"610400","0910"
延安市,"610600","0911"
昆明市,"530100","0871"
昌江黎族自治县,"469026","0803"
包头市,"150200","0472"
海北藏族自治州,"632200","0970"
甘孜藏族自治州,"513300","0836"
大同市,"140200","0352"
宝鸡市,"610300","0917"
五指山市,"469001","1897"
海西蒙古族藏族自治州,"632800","0977"
抚州市,"361000","0794"
丽江市,"530700","0888"
自贡市,"510300","0813"
淮安市,"320800","0517"
大庆市,"230600","0459"
肇庆市,"441200","0758"
达州市,"511700","0818"
海口市,"460100","0898"
庆阳市,"621000","0934"
景德镇市,"360200","0798"
张掖市,"620700","0936"
锦州市,"210700","0416"
兰州市,"620100","0931"
新余市,"360500","0790"
张家界市,"430800","0744"
乐山市,"511100","0833"
忻州市,"140900","0350"
天门市,"429006","1728"
玉林市,"450900","0775"
黔南布依族苗族自治州,"522700","0854"
邢台市,"130500","0319"
烟台市,"370600","0535"
七台河市,"230900","0464"
娄底市,"431300","0738"
济宁市,"370800","0537"
晋城市,"140500","0356"
运城市,"140800","0359"
甘南藏族自治州,"623000","0941"
嘉峪关市,"620200","1937"
临沧市,"530900","0883"
芜湖市,"340200","0553"
株洲市,"430200","0733"
钦州市,"450700","0777"
双河市,"659007","1909"
潍坊市,"370700","0536"
荆州市,"421000","0716"
天水市,"620500","0938"
珠海市,"440400","0756"
湛江市,"440800","0759"
乐东黎族自治县,"469027","2802"
固原市,"640400","0954"
鄂州市,"420700","0711"
镇江市,"321100","0511"
丽水市,"331100","0578"
金华市,"330700","0579"
临夏回族自治州,"622900","0930"
衡阳市,"430400","0734"
商洛市,"611000","0914"
哈尔滨市,"230100","0451"
邯郸市,"130400","0310"
琼海市,"469002","1894"
塔城地区,"654200","0901"
儋州市,"460400","0805"
马鞍山市,"340500","0555"
濮阳市,"410900","0393"
雅安市,"511800","0835"
龙岩市,"350800","0597"
鹤壁市,"410600","0392"
吉林市,"220200","0432"
保定市,"130600","0312"
河源市,"441600","0762"
辽源市,"220400","0437"
林芝市,"540400","0894"
泰州市,"321200","0523"
郴州市,"431000","0735"
潜江市,"429005","2728"
新乡市,"410700","0373"
德阳市,"510600","0838"
那曲市,"540600","0896"
巴彦淖尔市,"150800","0478"
长春市,"220100","0431"
克孜勒苏柯尔克孜自治州,"653000","0908"
山南市,"540500","0893"
黄南藏族自治州,"632300","0973"
神农架林区,"429021","1719"
海东市,"630200","0972"
鄂尔多斯市,"150600","0477"
东方市,"469007","0807"
盐城市,"320900","0515"
宿州市,"341300","0557"
临沂市,"371300","0539"
淮北市,"340600","0561"
百色市,"451000","0776"
延边朝鲜族自治州,"222400","1433"
日照市,"371100","0633"
绥化市,"231200","0455"
汉中市,"610700","0916"
五家渠市,"659004","1994"
漳州市,"350600","0596"
汕头市,"440500","0754"
宜昌市,"420500","0717"
成都市,"510100","028"
黔东南苗族侗族自治州,"522600","0855"
黄石市,"420200","0714"
枣庄市,"370400","0632"
南通市,"320600","0513"
宁波市,"330200","0574"
迪庆藏族自治州,"533400","0887"
苏州市,"320500","0512"
遂宁市,"510900","0825"
益阳市,"430900","0737"
揭阳市,"445200","0663"
绵阳市,"510700","0816"
喀什地区,"653100","0998"
朔州市,"140600","0349"
拉萨市,"540100","0891"
营口市,"210800","0417"
临高县,"469024","1896"
南平市,"350700","0599"
凉山彝族自治州,"513400","0834"
三明市,"350400","0598"
本溪市,"210500","0414"
仙桃市,"429004","0728"
通化市,"220500","0435"
西宁市,"630100","0971"
孝感市,"420900","0712"
普洱市,"530800","0879"
长治市,"140400","0355"
澳门特别行政区,"820000","1853"
承德市,"130800","0314"
惠州市,"441300","0752"
黄冈市,"421100","0713"
廊坊市,"131000","0316"
威海市,"371000","0631"
攀枝花市,"510400","0812"
舟山市,"330900","0580"
沧州市,"130900","0317"
江门市,"440700","0750"
开封市,"410200","0378"
北屯市,"659005","1906"
定西市,"621100","0932"
白沙黎族自治县,"469025","0802"
毕节市,"520500","0857"
焦作市,"410800","0391"
亳州市,"341600","0558"
梧州市,"450400","0774"
张家口市,"130700","0313"
福州市,"350100","0591"
北京市,"110000","010"
阿拉善盟,"152900","0483"
金昌市,"620300","0935"
怒江傈僳族自治州,"533300","0886"
保山市,"530500","0875"
武威市,"620600","1935"
安顺市,"520400","0853"
汕尾市,"441500","0660"
吴忠市,"640300","0953"
陇南市,"621200","2935"
恩施土家族苗族自治州,"422800","0718"
葫芦岛市,"211400","0429"
大理白族自治州,"532900","0872"
安康市,"610900","0915"
呼和浩特市,"150100","0471"
曲靖市,"530300","0874"
榆林市,"610800","0912"
阿勒泰地区,"654300","0906"
伊犁哈萨克自治州,"654000","0999"
香港特别行政区,"810000","1852"
松原市,"220700","0438"
怀化市,"431200","0745"
和田地区,"653200","0903"
吕梁市,"141100","0358"
萍乡市,"360300","0799"
沈阳市,"210100","024"
阿里地区,"542500","0897"
赣州市,"360700","0797"
三沙市,"460300","2898"
清远市,"441800","0763"
铜川市,"610200","0919"
吐鲁番市,"650400","0995"
泸州市,"510500","0830"
邵阳市,"430500","0739"
果洛藏族自治州,"632600","0975"
秦皇岛市,"130300","0335"
台湾省,"710000","1886"
抚顺市,"210400","0413"
哈密市,"650500","0902"
乌鲁木齐市,"650100","0991"
池州市,"341700","0566"
日喀则市,"540200","0892"
茂名市,"440900","0668"
阿拉尔市,"659002","1997"
东沙群岛,"442100",
琼中黎族苗族自治县,"469030","1899"
南充市,"511300","0817"
洛阳市,"410300","0379"
屯昌县,"469022","1892"
潮州市,"445100","0768"
